Name,Team,Rating,,,,
Aaron Gordon,DEN,0.7,0.4,3,1.3,0.7077777778
Aaron Nesmith,IND,0.3,0.1,1.5,0.5,0.3038888889
Aaron Wiggins,OKC,0.4,0.1,1.8,1,0.4024444444
Ace Bailey,UTA,-0.3,-0.4,-0.8,-0.1,-0.2591111111
AJ Green,MIL,0.1,-0.1,0.1,1.5,0.1476666667
Ajay Mitchell,OKC,0.6,0.9,-0.5,3.2,0.5838888889
Al Horford,GSW,-0.1,0.2,-1.7,0.6,-0.1103333333
Alex Sarr,WAS,0.2,0.8,-1.5,1.3,0.1961111111
Alperen Sengun,HOU,1.3,1.8,2.1,3.7,1.312111111
Amen Thompson,HOU,1,1.1,1.4,3.7,0.9784444444
Andre Drummond,PHI,0.2,0.3,-0.8,2,0.2075555556
Andrew Nembhard,IND,0.1,0.1,-0.3,1.1,0.1125555556
Andrew Wiggins,MIA,0.3,0.7,-1.1,2,0.2978888889
Anfernee Simons,BOS,0.2,0.3,-1,1.8,0.1566666667
Anthony Black,ORL,0.4,0.4,0.4,1.5,0.3573333333
Anthony Davis,DAL,0.8,0.7,3,1.6,0.8411111111
Anthony Edwards,MIN,1.7,1.9,4.7,3.4,1.684777778
Ausar Thompson,DET,0.5,0.6,0.7,1.9,0.5114444444
Ayo Dosunmu,CHI,0.1,0.2,-0.8,1.6,0.1297777778
Bam Adebayo,MIA,0.7,0.6,2.2,1.8,0.7153333333
Ben Sheppard,IND,-0.3,-0.3,-1.6,0.3,-0.296
Bennedict Mathurin,IND,-0.2,-0.2,-1.7,0.6,-0.2436666667
Bilal Coulibaly,WAS,-0.3,-0.2,-1.9,0,-0.339
Bobby Portis,MIL,0.3,0.4,-0.1,1.6,0.2967777778
Bogdan Bogdanovic,LAC,0,-0.2,0.1,0.1,-0.04122222222
Brandin Podziemski,GSW,0.5,0.5,0.4,2.1,0.4573333333
Brandon Ingram,TOR,0.3,0.6,-0.3,1.7,0.3458888889
Brandon Miller,CHA,-0.1,0,-0.8,0.3,-0.08133333333
Brandon Williams,DAL,0,0.1,-0.9,0.7,-0.01788888889
Brice Sensabaugh,UTA,-0.2,-0.2,-1.1,0.3,-0.191
Bruce Brown,DEN,-0.3,-0.2,-2.5,1.1,-0.3027777778
Bub Carrington,WAS,-0.8,-0.6,-4.1,-0.2,-0.8098888889
Cade Cunningham,DET,1.4,2.2,1.7,4.1,1.432555556
Caleb Love,POR,-0.4,-0.2,-2.8,0.4,-0.4235555556
Cam Johnson,DEN,0.1,-0.1,0,1.5,0.1333333333
Cam Spencer,MEM,0.6,1,-0.5,2.7,0.5616666667
Cam Thomas,BKN,-0.1,0.1,-0.9,0.3,-0.06233333333
Caris LeVert,DET,0,0.3,-1.5,0.9,-0.015
Cason Wallace,OKC,0.6,0.7,0.8,2.5,0.6257777778
Cedric Coward,MEM,0.1,0.5,-1.9,1.9,0.1054444444
Chet Holmgren,OKC,1.3,1.2,3,3.8,1.252222222
Christian Braun,DEN,0.2,0,1,0.6,0.21
CJ McCollum,WAS,0,0,-0.6,1,0.02511111111
Coby White,CHI,0,-0.1,0.1,0.4,0.02544444444
Collin Gillespie,PHX,1,1.5,1.2,2.9,0.9942222222
Collin Murray-Boyles,TOR,-0.1,0.1,-2,1.1,-0.1311111111
Collin Sexton,CHA,0.3,0.3,-0.1,1.5,0.2523333333
Cooper Flagg,DAL,0.3,0.7,-1.1,2.1,0.309
Daniel Gafford,DAL,0.3,0.3,0.2,1.6,0.3064444444
Darius Garland,CLE,0.3,-0.1,1.4,0.8,0.2562222222
Davion Mitchell,MIA,0.3,0.2,0,2.2,0.3111111111
DeAaron Fox,SAS,0.8,1.1,0.9,2.5,0.7734444444
DeAndre Ayton,LAL,0.3,0.2,0.1,2.2,0.3254444444
DeAndre Hunter,CLE,0.1,-0.2,0.1,1.4,0.1032222222
DeAnthony Melton,GSW,0,-0.1,0,0.1,-0.02222222222
DeMar DeRozan,SAC,0.4,0.6,-1.1,2.8,0.3534444444
Deni Avdija,POR,1.4,2.1,1.8,4,1.402444444
Dennis Schroder,SAC,-0.4,0,-2.8,0.4,-0.3568888889
Derik Queen,NOP,0.2,0.4,-0.7,1.3,0.1774444444
Derrick Jones Jr,LAC,0.4,0.3,1,1,0.3544444444
Derrick White,BOS,1.1,1.6,1.9,3,1.139
Desmond Bane,ORL,0.5,0.5,0.4,2.2,0.4684444444
Deuce McBride,NYK,0.4,0.5,0.4,1.7,0.4128888889
Devin Booker,PHX,0.9,1,2,2.9,0.9422222222
Devin Vassell,SAS,0.3,0.5,-0.4,2.1,0.3426666667
Dillon Brooks,PHX,0.2,0.1,-0.1,1.3,0.1634444444
Dominick Barlow,PHI,0,0.2,-1.3,1.5,0.047
Donovan Clingan,POR,0.7,0.9,0.3,3.3,0.7096666667
