Name,Team,Rating
Aaron Nesmith,IND,2.2
Aaron Wiggins,OKC,1.5
Ace Bailey,UTA,-2.6
AJ Green,MIL,0.4
Ajay Mitchell,OKC,1.6
Al Horford,GSW,-0.7
Alex Sarr,WAS,-0.6
Alperen Sengun,HOU,3.1
Amen Thompson,HOU,3.2
Andre Drummond,PHI,-0.9
Andrew Nembhard,IND,0.3
Andrew Wiggins,MIA,-1.1
Anfernee Simons,BOS,-0.4
Anthony Black,ORL,-0.6
Anthony Davis,DAL,3.2
Anthony Edwards,MIN,2.7
Ausar Thompson,DET,2.2
Austin Reaves,LAL,4.1
Ayo Dosunmu,CHI,-1.9
Bam Adebayo,MIA,2.3
Ben Sheppard,IND,-2.8
Bennedict Mathurin,IND,-1.7
Bilal Coulibaly,WAS,-2.5
Bobby Portis,MIL,-0.3
Bogdan Bogdanovic,LAC,-0.2
Brandin Podziemski,GSW,0.3
Brandon Ingram,TOR,0.4
Brandon Miller,CHA,0.4
Brandon Williams,DAL,0.2
Brice Sensabaugh,UTA,-2.7
Bruce Brown,DEN,-3.6
Bub Carrington,WAS,-3.1
Cade Cunningham,DET,4
Caleb Love,POR,-1.8
Cam Johnson,DEN,0.9
Cam Spencer,MEM,0.1
Caris LeVert,DET,-1.2
Cason Wallace,OKC,1.8
Cedric Coward,MEM,-0.5
Chet Holmgren,OKC,4.1
CJ McCollum,WAS,-0.5
Coby White,CHI,1.2
Collin Gillespie,PHX,1.6
Collin Murray-Boyles,TOR,-2.4
Collin Sexton,CHA,-0.6
Cooper Flagg,DAL,-0.7
Corey Kispert,WAS,-2.6
Daniel Gafford,DAL,-0.6
Darius Garland,CLE,1
Davion Mitchell,MIA,1
DeAaron Fox,SAS,2.3
DeAndre Ayton,LAL,-1.4
DeAndre Hunter,CLE,-1.3
DeMar DeRozan,SAC,-0.4
Deni Avdija,POR,2.4
Dennis Schroder,SAC,-0.8
Derik Queen,NOP,-0.9
Derrick White,BOS,4.5
Desmond Bane,ORL,1.9
Deuce McBride,NYK,1.9
Devin Booker,PHX,2.8
Devin Vassell,SAS,0.9
Dillon Brooks,PHX,0.7
Dominick Barlow,PHI,-1.1
Donovan Clingan,POR,1.5
Donovan Mitchell,CLE,5.3
Donte DiVincenzo,MIN,1
Drake Powell,BKN,-3.1
Draymond Green,GSW,0.4
Duncan Robinson,DET,0.1
Dyson Daniels,ATL,1.7
Egor Demin,BKN,-0.9
Evan Mobley,CLE,2.7
Franz Wagner,ORL,3.8
Gabe Vincent,LAL,-2
Gary Trent Jr,MIL,-2.4
Giannis Antetokounmpo,MIL,7.5
Goga Bitadze,ORL,0.4
Grayson Allen,PHX,1.1
Harrison Barnes,SAS,0.7
Herb Jones,NOP,1.2
Immanuel Quickley,TOR,1.9
Isaac Okoro,CHI,-0.3
Isaiah Collier,UTA,-4.3
Isaiah Hartenstein,OKC,2.4
Isaiah Stewart,DET,-1.3
Ivica Zubac,LAC,1.8
Ja Morant,MEM,1.9
Jabari Smith Jr,HOU,1.1
Jaden McDaniels,MIN,1.8
Jaime Jaquez,MIA,-1
Jake LaRavia,LAL,-1.3
