Name,Team,Rating
Aaron Gordon,DEN,3.6
Aaron Nesmith,IND,-2.3
Aaron Wiggins,OKC,0.2
Ace Bailey,UTA,-4.7
AJ Green,MIL,-0.4
Ajay Mitchell,OKC,4.3
Al Horford,GSW,-1.2
Alex Sarr,WAS,-2.5
Alperen Sengun,HOU,2.7
Amen Thompson,HOU,1
Andre Drummond,PHI,-0.2
Andrew Nembhard,IND,-1.4
Andrew Wiggins,MIA,0
Anfernee Simons,BOS,0.9
Anthony Black,ORL,-0.9
Anthony Edwards,MIN,4.4
Ausar Thompson,DET,-0.8
Ayo Dosunmu,CHI,1.2
Bam Adebayo,MIA,0.8
Ben Sheppard,IND,-2.9
Bennedict Mathurin,IND,-1.9
Bilal Coulibaly,WAS,-3
Bobby Portis,MIL,-0.9
Bogdan Bogdanovic,LAC,-3.6
Brandin Podziemski,GSW,0.6
Brandon Ingram,TOR,0.2
Brandon Miller,CHA,-0.4
Brandon Williams,DAL,-0.8
Brice Sensabaugh,UTA,-2.4
Bruce Brown,DEN,-2.3
Bub Carrington,WAS,-5.1
Cade Cunningham,DET,4.1
Caleb Love,POR,-2.9
Cam Johnson,DEN,0
Cam Spencer,MEM,2
Cam Thomas,BKN,-3.6
Caris LeVert,DET,0.8
Cason Wallace,OKC,-0.6
Cedric Coward,MEM,0.6
Chet Holmgren,OKC,3.4
Christian Braun,DEN,-1.1
CJ McCollum,ATL,-1.2
Coby White,CHI,-0.4
Collin Gillespie,PHX,2.4
Collin Murray-Boyles,TOR,0.4
Collin Sexton,CHA,2
Cooper Flagg,DAL,0.1
Daniel Gafford,DAL,0.2
Darius Garland,CLE,-1.6
Davion Mitchell,MIA,-1
DeAaron Fox,SAS,1
Dean Wade,CLE,0.2
DeAndre Ayton,LAL,-0.4
DeAndre Hunter,CLE,-2
DeAnthony Melton,GSW,1.4
DeMar DeRozan,SAC,1
Deni Avdija,POR,2.7
Dennis Schroder,SAC,-2
Derik Queen,NOP,-2
Derrick Jones Jr,LAC,1
Derrick White,BOS,2.1
Desmond Bane,ORL,-0.3
Deuce McBride,NYK,1.7
Devin Booker,PHX,2
Devin Vassell,SAS,0.1
Dillon Brooks,PHX,-0.3
Domantas Sabonis,SAC,-3.3
Dominick Barlow,PHI,0.4
Donovan Clingan,POR,1.3
Donovan Mitchell,CLE,5
Donte DiVincenzo,MIN,1.1
Draymond Green,GSW,-2.7
Duncan Robinson,DET,1.3
Dyson Daniels,ATL,-1.2
Egor Demin,BKN,-1.2
Evan Mobley,CLE,0.7
Franz Wagner,ORL,2.6
Gabe Vincent,LAL,-5.3
Gary Trent Jr,MIL,-3.6
Giannis Antetokounmpo,MIL,5.4
Goga Bitadze,ORL,3.1
Grayson Allen,PHX,0.9
Harrison Barnes,SAS,-0.6
Herb Jones,NOP,-2.8
Immanuel Quickley,TOR,1.4
Isaac Okoro,CHI,-2
Isaiah Collier,UTA,-4
Isaiah Hartenstein,OKC,2.6
Isaiah Stewart,DET,0.8
Ivica Zubac,LAC,-0.3
Ja Morant,MEM,-1.7
Jabari Smith Jr,HOU,-0.5
Jaden McDaniels,MIN,0.5
Jaime Jaquez,MIA,0.4
Jake LaRavia,LAL,-1.6
Jakob Poeltl,TOR,-0.2
Jalen Brunson,NYK,2.8
Jalen Duren,DET,3.8
Jalen Johnson,ATL,2
Jalen Suggs,ORL,2.2
Jalen Williams,OKC,2
Jamal Murray,DEN,3.5
Jamal Shead,TOR,-0.6
James Harden,LAC,3.7
Jarace Walker,IND,-3.2
Jaren Jackson Jr,MEM,-0.1
Jarred Vanderbilt,LAL,-1.4
Jarrett Allen,CLE,1.1
Jay Huff,IND,-1.5
Jaylen Brown,BOS,1.9
Jaylen Clark,MIN,-0.2
Jaylen Wells,MEM,-1.6
Jaylon Tyson,CLE,0.7
Jerami Grant,POR,0.3
Jeremiah Fears,NOP,-4
Jock Landale,MEM,0.7
Joel Embiid,PHI,3.1
John Collins,LAC,0.4
Johnny Furphy,IND,-2.4
Jonathan Kuminga,GSW,-1.6
Jordan Goodwin,PHX,0.9
Jordan Poole,NOP,-2.6
Jordan Walsh,BOS,1.2
Jose Alvarado,NOP,-1.8
Josh Giddey,CHI,0.6
Josh Hart,NYK,0.6
Josh Minott,BOS,1.6
Josh Okogie,HOU,0
Jrue Holiday,POR,1.6
Julian Champagnie,SAS,1.1
Julius Randle,MIN,1.7
Jusuf Nurkic,UTA,-0.6
Karl-Anthony Towns,NYK,2
Kawhi Leonard,LAC,6.6
Keegan Murray,SAC,-2.7
Keldon Johnson,SAS,3.4
Kelel Ware,MIA,1
Kelly Oubre,PHI,0.9
Kevin Durant,HOU,4
Kevin Huerter,CHI,-0.9
Kevin Porter Jr,MIL,1.1
Keyonte George,UTA,0.2
Khris Middleton,WAS,-2.5
Klay Thompson,DAL,-1.3
Kobe Sanders,LAC,-3.1
Kon Knueppel,CHA,1.5
Kris Dunn,LAC,-2.4
Kris Murray,POR,-1.4
Kristaps Porzingis,ATL,2.1
Kyle Filipowski,UTA,-2.3
Kyle Kuzma,MIL,-1.8
Kyshawn George,WAS,-1.3
LaMelo Ball,CHA,1.1
Landry Shamet,NYK,1.8
Lauri Markkanen,UTA,2.3
LeBron James,LAL,1.6
Lu Dort,OKC,-0.4
Luka Doncic,LAL,5.6
Luke Kornet,SAS,2.3
Malik Monk,SAC,-0.6
Marcus Smart,LAL,-1
Mark Williams,PHX,2
Marvin Bagley III,WAS,1.1
Matas Buzelis,CHI,-0.5
Max Christie,DAL,0.2
Maxime Raynaud,SAC,-4.1
Michael Porter Jr,BKN,2.2
Mikal Bridges,NYK,2.2
Mike Conley,MIN,-2.7
Miles Bridges,CHA,-0.1
Mitchell Robinson,NYK,3.4
Moses Moody,GSW,1.1
Moussa Diabate,CHA,1.2
Myles Turner,MIL,0.1
Naji Marshall,DAL,1.9
Naz Reid,MIN,1.4
Neemias Queta,BOS,2.2
Nic Claxton,BKN,-0.7
Nickeil Alexander-Walker,ATL,0.4
Nikola Vucevic,CHI,-0.2
Noah Clowney,BKN,-1.9
Norman Powell,MIA,2.7
OG Anunoby,NYK,-0.2
Onyeka Okongwu,ATL,-0.3
Paolo Banchero,ORL,-0.2
Pascal Siakam,IND,0.4
Paul George,PHI,1.5
Payton Pritchard,BOS,0.9
Pelle Larsson,MIA,0.1
Peyton Watson,DEN,-0.3
PJ Washington,DAL,-1.5
Quentin Grimes,PHI,-0.4
Reed Sheppard,HOU,1.6
RJ Barrett,TOR,0.7
Ron Holland,DET,0.2
Royce ONeale,PHX,-1
Rudy Gobert,MIN,1.2
Rui Hachimura,LAL,-2
Russell Westbrook,SAC,-2.6
Ryan Dunn,PHX,-0.7
Ryan Kalkbrenner,CHA,0.4
Ryan Nembhard,DAL,-3.4
Ryan Rollins,MIL,-0.6
Saddiq Bey,NOP,0.4
Sam Hauser,BOS,0.6
Sam Merrill,CLE,2.9
Sandro Mamukelashvili,TOR,2.7
Santi Aldama,MEM,0.7
Scottie Barnes,TOR,2.2
Shaedon Sharpe,POR,-0.9
Shai Gilgeous-Alexander,OKC,10.4
Sion James,CHA,-1.1
Spencer Jones,DEN,-1.3
Steph Curry,GSW,4.1
Stephon Castle,SAS,0.6
Steven Adams,HOU,2.3
Svi Mykhailiuk,UTA,-0.8
Tari Eason,HOU,1.8
Terance Mann,BKN,-1.9
Tim Hardaway Jr,DEN,0.6
Tobias Harris,DET,1.4
Toumani Camara,POR,-0.5
Trae Young,WAS,1.6
Tre Johnson,WAS,-1.9
Tre Jones,CHI,1.1
Trey Murphy III,NOP,0.9
Tristan Da Silva,ORL,-0.9
Tyler Herro,MIA,1.5
Tyrese Martin,BKN,-3.3
Tyrese Maxey,PHI,3.5
Victor Wembanyama,SAS,6.2
Vince Williams,MEM,-2
Vit Krejci,ATL,-1.1
VJ Edgecombe,PHI,-0.3
Wendell Carter Jr,ORL,0
Will Richard,GSW,0.7
Zaccharie Risacher,ATL,-1.9
Zach LaVine,SAC,-1.5
Ziaire Williams,BKN,-1.9
Zion Williamson,NOP,2.9
