Name,Team,Rating
Aaron Gordon,DEN,6
Aaron Holiday,HOU,3
Aaron Nesmith,IND,-3
Aaron Wiggins,OKC,2
Ace Bailey,UTA,2
AJ Green,MIL,-1
Ajay Mitchell,OKC,5
Al Horford,GSW,1
Alex Sarr,WAS,11
Alperen Sengun,HOU,10
Amen Thompson,HOU,5
Andre Drummond,PHI,4
Andrew Nembhard,IND,2
Andrew Wiggins,MIA,3
Anfernee Simons,BOS,2
Anthony Black,ORL,2
Anthony Davis,DAL,8
Anthony Edwards,MIN,7
Ausar Thompson,DET,7
Austin Reaves,LAL,6
Ayo Dosunmu,CHI,5
Bam Adebayo,MIA,6
Ben Sheppard,IND,-6
Bennedict Mathurin,IND,5
Bilal Coulibaly,WAS,0
Blake Wesley,POR,1
Bobby Portis,MIL,5
Bogdan Bogdanovic,LAC,-4
Brandin Podziemski,GSW,4
Brandon Ingram,TOR,4
Brandon Miller,CHA,1
Brandon Williams,DAL,2
Bruce Brown,DEN,1
Bub Carrington,WAS,-1
Cade Cunningham,DET,6
Caleb Love,POR,0
Cam Johnson,DEN,-5
Cam Spencer,MEM,3
Cam Thomas,BKN,0
Cason Wallace,OKC,1
Cedric Coward,MEM,5
Chet Holmgren,OKC,8
CJ McCollum,WAS,0
Coby White,CHI,6
Collin Gillespie,PHX,8
Collin Murray-Boyles,TOR,4
Collin Sexton,CHA,2
Cooper Flagg,DAL,4
Corey Kispert,WAS,0
DAngelo Russell,DAL,-1
Daniel Gafford,DAL,4
Darius Garland,CLE,3
Davion Mitchell,MIA,6
DeAaron Fox,SAS,10
DeAndre Ayton,LAL,3
DeAndre Hunter,CLE,3
DeMar DeRozan,SAC,3
Deni Avdija,POR,7
Dennis Schroder,SAC,-1
Derik Queen,NOP,6
Derrick White,BOS,0
Desmond Bane,ORL,1
Deuce McBride,NYK,-2
Devin Booker,PHX,3
Devin Vassell,SAS,-2
Dillon Brooks,PHX,3
Dominick Barlow,PHI,5
Donovan Clingan,POR,1
Donovan Mitchell,CLE,10
Donte DiVincenzo,MIN,3
Draymond Green,GSW,2
Duncan Robinson,DET,0
Dyson Daniels,ATL,4
Egor Demin,BKN,2
Evan Mobley,CLE,8
Franz Wagner,ORL,5
Gabe Vincent,LAL,-4
Gary Trent Jr,MIL,-3
Giannis Antetokounmpo,MIL,13
Goga Bitadze,ORL,7
Grayson Allen,PHX,8
Harrison Barnes,SAS,3
Herb Jones,NOP,-1
Immanuel Quickley,TOR,9
Isaac Okoro,CHI,-3
Isaiah Collier,UTA,4
Isaiah Hartenstein,OKC,8
Isaiah Joe,OKC,1
Isaiah Stewart,DET,3
Ivica Zubac,LAC,4
Ja Morant,MEM,1
Jabari Smith Jr,HOU,1
Jaden McDaniels,MIN,7
Jaime Jaquez,MIA,5
Jake LaRavia,LAL,2
Jakob Poeltl,TOR,2
Jalen Brunson,NYK,4
Jalen Duren,DET,6
Jalen Johnson,ATL,15
Jalen Suggs,ORL,11
Jamal Murray,DEN,7
Jamal Shead,TOR,5
James Harden,LAC,8
Jarace Walker,IND,-5
Jaren Jackson Jr,MEM,6
Jarrett Allen,CLE,6
Javonte Green,DET,0
Jaylen Brown,BOS,5
Jaylen Clark,MIN,1
Jaylen Wells,MEM,-9
Jaylon Tyson,CLE,8
Jerami Grant,POR,4
Jeremiah Fears,NOP,5
Jeremy Sochan,SAS,4
Jimmy Butler,GSW,12
Jock Landale,MEM,3
Joel Embiid,PHI,8
John Collins,LAC,2
Jonas Valanciunas,DEN,7
Jonathan Kuminga,GSW,3
Jordan Clarkson,NYK,1
Jordan Goodwin,PHX,8
Jordan Poole,NOP,-3
Jordan Walsh,BOS,6
Jose Alvarado,NOP,1
Josh Giddey,CHI,10
Josh Hart,NYK,4
Josh Minott,BOS,5
Josh Okogie,HOU,2
Julian Champagnie,SAS,0
Julius Randle,MIN,10
Jusuf Nurkic,UTA,2
Karl-Anthony Towns,NYK,3
Kawhi Leonard,LAC,11
Keegan Murray,SAC,-5
Keldon Johnson,SAS,4
Kelel Ware,MIA,7
Kelly Olynyk,SAS,10
Kelly Oubre,PHI,-1
Kevin Durant,HOU,2
Kevin Huerter,CHI,3
Keyonte George,UTA,2
Khris Middleton,WAS,0
Kobe Sanders,LAC,-5
Kon Knueppel,CHA,4
Kris Dunn,LAC,2
Kris Murray,POR,-2
Kristaps Porzingis,ATL,9
Kyle Anderson,UTA,3
Kyle Filipowski,UTA,1
Kyle Kuzma,MIL,1
Kyshawn George,WAS,9
LaMelo Ball,CHA,7
Landry Shamet,NYK,0
Lauri Markkanen,UTA,4
LeBron James,LAL,5
Lonzo Ball,CLE,2
Lu Dort,OKC,-6
Luka Doncic,LAL,10
Luke Kornet,SAS,2
Malik Monk,SAC,3
Marcus Smart,LAL,-2
Mark Williams,PHX,5
Matas Buzelis,CHI,6
Max Christie,DAL,0
Michael Porter Jr,BKN,5
Mikal Bridges,NYK,8
Mike Conley,MIN,2
Miles Bridges,CHA,3
Moses Moody,GSW,1
Moussa Diabate,CHA,4
Myles Turner,MIL,2
Naji Marshall,DAL,4
Naz Reid,MIN,7
Neemias Queta,BOS,5
Nic Batum,LAC,-1
Nic Claxton,BKN,7
Nickeil Alexander-Walker,ATL,3
Nikola Jokic,DEN,15
Nikola Jovic,MIA,0
Nikola Vucevic,CHI,5
Nique Clifford,SAC,-5
Noah Clowney,BKN,-6
Norman Powell,MIA,6
Obi Toppin,IND,0
OG Anunoby,NYK,7
Onyeka Okongwu,ATL,7
Paolo Banchero,ORL,4
Pascal Siakam,IND,8
Paul George,PHI,11
Payton Pritchard,BOS,0
Pelle Larsson,MIA,3
Peyton Watson,DEN,4
PJ Washington,DAL,3
Precious Achiuwa,SAC,-2
Quentin Grimes,PHI,5
Quenton Jackson,IND,12
Reed Sheppard,HOU,9
RJ Barrett,TOR,5
Ron Holland,DET,-1
Royce ONeale,PHX,5
Rudy Gobert,MIN,3
Rui Hachimura,LAL,1
Russell Westbrook,SAC,9
Ryan Dunn,PHX,3
Ryan Kalkbrenner,CHA,3
Ryan Rollins,MIL,10
Saddiq Bey,NOP,0
Sam Hauser,BOS,-5
Sam Merrill,CLE,2
Sandro Mamukelashvili,TOR,6
Santi Aldama,MEM,6
Scottie Barnes,TOR,13
Shaedon Sharpe,POR,4
Shai Gilgeous-Alexander,OKC,12
Sion James,CHA,-2
Steph Curry,GSW,9
Steven Adams,HOU,-1
Svi Mykhailiuk,UTA,-2
Taurean Prince,MIL,-1
Terance Mann,BKN,-1
Tim Hardaway Jr,DEN,-1
Tobias Harris,DET,0
Toumani Camara,POR,-4
Trae Young,ATL,-1
Tre Johnson,WAS,-2
Tre Jones,CHI,4
Trey Murphy III,NOP,6
Tristan Da Silva,ORL,4
Tyrese Martin,BKN,-4
Tyrese Maxey,PHI,9
Vit Krejci,ATL,2
VJ Edgecombe,PHI,1
Wendell Carter Jr,ORL,1
Will Richard,GSW,5
Zaccharie Risacher,ATL,-1
Zach Edey,MEM,8
Zach LaVine,SAC,2
Ziaire Williams,BKN,-5
Zion Williamson,NOP,9
