Name,Team,Rating
Aaron Gordon,DEN,0.3
Aaron Wiggins,OKC,0.5
AJ Green,MIL,0.1
Al Horford,BOS,0.5
Alec Burks,MIA,0.3
Alex Sarr,WAS,-0.1
Alperen Sengun,HOU,2.2
Amen Thompson,HOU,1
Amir Coffey,LAC,0.3
Andrew Nembhard,IND,0
Andrew Wiggins,GSW,0.8
Anfernee Simons,POR,0
Anthony Black,ORL,-0.1
Anthony Davis,LAL,2.1
Anthony Edwards,MIN,1.2
Ausar Thompson,DET,-0.2
Austin Reaves,LAL,0.4
Ayo Dosunmu,CHI,0.1
Bam Adebayo,MIA,0.9
Ben Sheppard,IND,-0.1
Ben Simmons,BKN,0.2
Bennedict Mathurin,IND,-0.5
Bilal Coulibaly,WAS,-0.1
Bobby Portis,MIL,0.5
Bogdan Bogdanovic,ATL,-0.1
Bradley Beal,PHX,0.1
Brandin Podziemski,GSW,0.1
Brandon Boston,NOP,0.1
Brandon Ingram,NOP,0.3
Brandon Miller,CHA,0.5
Brook Lopez,MIL,0.6
Bub Carrington,WAS,-0.7
Buddy Hield,GSW,0.2
Cade Cunningham,DET,1.3
Caleb Martin,PHI,-0.1
Cam Johnson,BKN,1.6
Cam Payne,NYK,0.3
Cam Reddish,LAL,-0.1
Cam Thomas,BKN,0.4
Cam Whitmore,HOU,0.1
Caris LeVert,CLE,0.9
Cason Wallace,OKC,0.6
Chet Holmgren,OKC,0.5
Chris Paul,SAS,0.9
Christian Braun,DEN,0.3
CJ McCollum,NOP,0.4
Clint Capela,ATL,0.2
Coby White,CHI,-0.1
Cody Martin,CHA,0.2
Cody Williams,UTA,-0.5
Collin Sexton,UTA,0.1
Corey Kispert,WAS,-0.4
Dalton Knecht,LAL,-0.1
Damian Lillard,MIL,1.3
DAngelo Russell,BKN,0.1
Darius Garland,CLE,1.5
Davion Mitchell,TOR,-0.6
DeAaron Fox,SAC,1.2
Dean Wade,CLE,0.6
DeAndre Ayton,POR,0
DeAndre Hunter,ATL,0.5
Dejounte Murray,NOP,-0.2
DeMar DeRozan,SAC,0.5
Deni Avdija,POR,0.5
Dennis Schroder,BKN,0.1
Dereck Lively II,DAL,1
Derrick Jones Jr,LAC,0.3
Derrick White,BOS,1.7
Desmond Bane,MEM,0.9
Deuce McBride,NYK,0.4
Devin Booker,PHX,0.8
Devin Vassell,SAS,0.2
Dillon Brooks,HOU,0.2
Domantas Sabonis,SAC,2.2
Donovan Mitchell,CLE,1.5
Donte DiVincenzo,MIN,0.5
Dorian Finney-Smith,LAL,0.2
Draymond Green,GSW,0.6
Duncan Robinson,MIA,0.1
Dyson Daniels,ATL,0.6
Evan Mobley,CLE,1.5
Fred VanVleet,HOU,1
Gary Trent Jr,MIL,-0.2
Giannis Antetokounmpo,MIL,2.5
Goga Bitadze,ORL,1.1
Gradey Dick,TOR,-0.2
Grayson Allen,PHX,0.1
Guerschon Yabusele,PHI,0.3
Harrison Barnes,SAS,0.1
Haywood Highsmith,MIA,0
Herb Jones,NOP,-0.2
Immanuel Quickley,TOR,0
Isaac Okoro,CLE,0.4
Isaiah Hartenstein,OKC,0.8
Isaiah Joe,OKC,0.2
Isaiah Stewart,DET,0.3
Ivica Zubac,LAC,1
Ja Morant,MEM,0.9
Jaden McDaniels,MIN,0.1
Jaime Jaquez Jr,MIA,0
Jake LaRavia,MEM,0.7
Jakob Poeltl,TOR,0.6
JaKobe Walter,TOR,-0.3
Jalen Brunson,NYK,1.5
Jalen Duren,DET,0.5
Jalen Green,HOU,0.4
Jalen Johnson,ATL,1.2
Jalen Smith,CHI,0.2
Jalen Suggs,ORL,0.7
Jalen Williams,OKC,1.7
Jalen Wilson,BKN,-0.5
Jamal Murray,DEN,0.3
James Harden,LAC,1.4
Jared McCain,PHI,0.5
Jaren Jackson Jr,MEM,1.2
Jarrett Allen,CLE,1.3
Jaylen Brown,BOS,0.6
Jaylen Wells,MEM,0.1
Jayson Tatum,BOS,2.6
Jerami Grant,POR,0
Jeremy Sochan,SAS,0.4
Joel Embiid,PHI,0.5
John Collins,UTA,0.6
Jonathan Isaac,ORL,0.2
Jonathan Kuminga,GSW,0.5
Jordan Clarkson,UTA,0.1
Jordan Poole,WAS,0.6
Josh Giddey,CHI,0.6
Josh Green,CHA,-0.6
Josh Hart,NYK,1.8
Jrue Holiday,BOS,0.7
Julian Champagnie,SAS,0.3
Julian Strawther,DEN,-0.2
Julius Randle,MIN,1
Justin Champagnie,WAS,0.2
Jusuf Nurkic,PHX,-0.2
Karl-Anthony Towns,NYK,2.1
Kawhi Leonard,LAC,0
Keegan Murray,SAC,-0.5
Keldon Johnson,SAS,0
Kelly Oubre,PHI,0
Kentavious Caldwell-Pope,ORL,0.4
Keon Ellis,SAC,0.6
Kevin Durant,PHX,1
Kevin Huerter,SAC,-0.1
Keyonte George,UTA,-0.4
Khris Middleton,MIL,0.2
KJ Martin,PHI,0
Klay Thompson,DAL,0.5
Kris Dunn,LAC,0.5
Kristaps Porzingis,BOS,0.5
Kyle Kuzma,WAS,-0.4
Kyrie Irving,DAL,1.6
LaMelo Ball,CHA,1.4
Lauri Markkanen,UTA,0.6
LeBron James,LAL,1.9
Lonzo Ball,CHI,0.2
Lu Dort,OKC,0.5
Luka Doncic,DAL,1.8
Malcolm Brogdon,WAS,0.1
Malik Beasley,DET,0.5
Malik Monk,SAC,0.4
Max Christie,LAL,0.1
