Name,Team,Rating
Aaron Gordon,DEN,1.5
Aaron Holiday,HOU,0.4
Aaron Nesmith,IND,0.3
Aaron Wiggins,OKC,0.7
Ace Bailey,UTA,0.1
AJ Green,MIL,0.9
Ajay Mitchell,OKC,1.5
Al Horford,GSW,0.2
Alex Sarr,WAS,0.5
Alperen Sengun,HOU,2
Amen Thompson,HOU,1.4
Andre Drummond,PHI,1.2
Andrew Nembhard,IND,0.4
Andrew Wiggins,MIA,0.7
Anfernee Simons,BOS,0.7
Anthony Black,ORL,0.6
Anthony Davis,DAL,0.5
Anthony Edwards,MIN,1.3
Ausar Thompson,DET,0.8
Austin Reaves,LAL,1.9
Ayo Dosunmu,CHI,1
Bam Adebayo,MIA,0.8
Ben Sheppard,IND,0
Bennedict Mathurin,IND,0.6
Bilal Coulibaly,WAS,0
Blake Wesley,POR,0.1
Bobby Portis,MIL,0.4
Bogdan Bogdanovic,LAC,0.1
Brandin Podziemski,GSW,1
Brandon Ingram,TOR,1.2
Brandon Miller,CHA,0
Brandon Williams,DAL,0.1
Bruce Brown,DEN,0.7
Bub Carrington,WAS,-0.6
Cade Cunningham,DET,1.4
Caleb Love,POR,0.1
Cam Johnson,DEN,0.6
Cam Spencer,MEM,0.8
Cam Thomas,BKN,0
Cason Wallace,OKC,1.3
Cedric Coward,MEM,1.3
Chet Holmgren,OKC,1.7
CJ McCollum,WAS,0
Coby White,CHI,0.3
Collin Gillespie,PHX,1.2
Collin Murray-Boyles,TOR,0.5
Collin Sexton,CHA,0.5
Cooper Flagg,DAL,0.8
Corey Kispert,WAS,0.2
DAngelo Russell,DAL,0
Daniel Gafford,DAL,1
Darius Garland,CLE,0.2
Davion Mitchell,MIA,1.3
DeAaron Fox,SAS,0.7
DeAndre Ayton,LAL,1
DeAndre Hunter,CLE,1
DeMar DeRozan,SAC,0.9
Deni Avdija,POR,1.7
Dennis Schroder,SAC,-0.4
Derik Queen,NOP,0.3
Derrick White,BOS,0.9
Desmond Bane,ORL,0.8
Deuce McBride,NYK,0.5
Devin Booker,PHX,1.7
Devin Vassell,SAS,0.8
Dillon Brooks,PHX,0.7
Dominick Barlow,PHI,0.3
Donovan Clingan,POR,1.5
Donovan Mitchell,CLE,2
Donte DiVincenzo,MIN,1.4
Draymond Green,GSW,0.1
Duncan Robinson,DET,1.3
Dyson Daniels,ATL,0.8
Egor Demin,BKN,0.1
Evan Mobley,CLE,1.3
Franz Wagner,ORL,1.8
Gabe Vincent,LAL,0.1
Gary Trent Jr,MIL,0.3
Giannis Antetokounmpo,MIL,2.4
Goga Bitadze,ORL,1.4
Grayson Allen,PHX,1.4
Harrison Barnes,SAS,1.4
Herb Jones,NOP,-0.1
Immanuel Quickley,TOR,1.6
Isaac Okoro,CHI,0.3
Isaiah Collier,UTA,0.2
Isaiah Hartenstein,OKC,2.6
Isaiah Joe,OKC,1.2
Isaiah Stewart,DET,0.9
Ivica Zubac,LAC,1.2
Ja Morant,MEM,-0.2
Jabari Smith Jr,HOU,1.2
Jaden McDaniels,MIN,1.4
Jaime Jaquez,MIA,1.3
Jake LaRavia,LAL,0.9
Jakob Poeltl,TOR,1.2
Jalen Brunson,NYK,1.4
Jalen Duren,DET,2.3
Jalen Johnson,ATL,1.9
Jalen Suggs,ORL,1
Jamal Murray,DEN,1.6
Jamal Shead,TOR,0.9
James Harden,LAC,1.7
Jarace Walker,IND,-0.7
Jaren Jackson Jr,MEM,0.4
Jarrett Allen,CLE,1.3
Javonte Green,DET,0.8
Jaylen Brown,BOS,1.3
Jaylen Clark,MIN,0.5
Jaylen Wells,MEM,0
Jaylon Tyson,CLE,1
Jerami Grant,POR,1.2
Jeremiah Fears,NOP,0
Jeremy Sochan,SAS,0.4
Jimmy Butler,GSW,2.7
Jock Landale,MEM,0.9
Joel Embiid,PHI,0.4
John Collins,LAC,0.1
Jonas Valanciunas,DEN,0.7
Jonathan Kuminga,GSW,0.3
Jordan Clarkson,NYK,0.7
Jordan Goodwin,PHX,0.6
Jordan Poole,NOP,0
Jordan Walsh,BOS,0.7
Jose Alvarado,NOP,0.2
Josh Giddey,CHI,1.1
Josh Hart,NYK,0.8
Josh Minott,BOS,1
Josh Okogie,HOU,1
Julian Champagnie,SAS,0.9
Julius Randle,MIN,2.5
Jusuf Nurkic,UTA,-0.1
Karl-Anthony Towns,NYK,1.5
Kawhi Leonard,LAC,0.7
Keegan Murray,SAC,-0.1
